departure,arrival,continental
niger,nigeria,A flight from Niger to Nigeria is a continental flight.
niger,norway,A flight from Niger to Norway is an intercontinental flight.
niger,pakistan,A flight from Niger to Pakistan is an intercontinental flight.
niger,palau,A flight from Niger to Palau is an intercontinental flight.
niger,panama,A flight from Niger to Panama is an intercontinental flight.
niger,paraguay,A flight from Niger to Paraguay is an intercontinental flight.
niger,peru,A flight from Niger to Peru is an intercontinental flight.
niger,philippines,A flight from Niger to Philippines is an intercontinental flight.
niger,poland,A flight from Niger to Poland is an intercontinental flight.
niger,portugal,A flight from Niger to Portugal is an intercontinental flight.
niger,qatar,A flight from Niger to Qatar is an intercontinental flight.
niger,romania,A flight from Niger to Romania is an intercontinental flight.
niger,russia,A flight from Niger to Russia is an intercontinental flight.
niger,rwanda,A flight from Niger to Rwanda is a continental flight.
niger,samoa,A flight from Niger to Samoa is an intercontinental flight.
niger,san marino,A flight from Niger to San Marino is an intercontinental flight.
niger,sao tome & principe,A flight from Niger to Sao Tome & Principe is a continental flight.
niger,saudi arabia,A flight from Niger to Saudi Arabia is an intercontinental flight.
niger,senegal,A flight from Niger to Senegal is a continental flight.
niger,seychelles,A flight from Niger to Seychelles is a continental flight.
niger,sierra leone,A flight from Niger to Sierra Leone is a continental flight.
niger,singapore,A flight from Niger to Singapore is an intercontinental flight.
niger,slovakia,A flight from Niger to Slovakia is an intercontinental flight.
niger,slovenia,A flight from Niger to Slovenia is an intercontinental flight.
niger,solomon islands,A flight from Niger to Solomon Islands is an intercontinental flight.
niger,somalia,A flight from Niger to Somalia is a continental flight.
niger,south africa,A flight from Niger to South Africa is a continental flight.
niger,south sudan,A flight from Niger to South Sudan is a continental flight.
niger,spain,A flight from Niger to Spain is an intercontinental flight.
niger,sri lanka,A flight from Niger to Sri Lanka is an intercontinental flight.
niger,sudan,A flight from Niger to Sudan is a continental flight.
niger,suriname,A flight from Niger to Suriname is an intercontinental flight.
niger,sweden,A flight from Niger to Sweden is an intercontinental flight.
niger,switzerland,A flight from Niger to Switzerland is an intercontinental flight.
niger,tajikistan,A flight from Niger to Tajikistan is an intercontinental flight.
niger,thailand,A flight from Niger to Thailand is an intercontinental flight.
niger,timor-leste,A flight from Niger to Timor-Leste is an intercontinental flight.
niger,togo,A flight from Niger to Togo is a continental flight.
niger,tonga,A flight from Niger to Tonga is an intercontinental flight.
niger,tunisia,A flight from Niger to Tunisia is an intercontinental flight.
niger,turkey,A flight from Niger to Turkey is an intercontinental flight.
niger,turkmenistan,A flight from Niger to Turkmenistan is an intercontinental flight.
niger,tuvalu,A flight from Niger to Tuvalu is an intercontinental flight.
niger,uganda,A flight from Niger to Uganda is a continental flight.
niger,ukraine,A flight from Niger to Ukraine is an intercontinental flight.
niger,united kingdom,A flight from Niger to United Kingdom is an intercontinental flight.
niger,tanzania,A flight from Niger to Tanzania is a continental flight.
niger,united states of america,A flight from Niger to United States of America is an intercontinental flight.
niger,uruguay,A flight from Niger to Uruguay is an intercontinental flight.
niger,uzbekistan,A flight from Niger to Uzbekistan is an intercontinental flight.
niger,vanuatu,A flight from Niger to Vanuatu is an intercontinental flight.
niger,venezuela,A flight from Niger to Venezuela is an intercontinental flight.
niger,vietnam,A flight from Niger to Vietnam is an intercontinental flight.
niger,zambia,A flight from Niger to Zambia is a continental flight.
niger,zimbabwe,A flight from Niger to Zimbabwe is a continental flight.
